# break-campaign.sh against main d6c62e7 (the tree v1.1.0's binary is built from), 2026-09-05, darwin/arm64, go go1.27.0
# 47 probes, one line each; read each for a silent wrong write — an 'applied' whose file state is not what the plan said — or a refusal that does not name its reason.
[pat-with-space] exit=0  X | 1 hunk(s), 1 file(s), 0 failed — applied
[sha-guard-uppercase-hex] exit=0  Q | 1 hunk(s), 1 file(s), 0 failed — applied
[lines=0-guard] exit=1  Q | FAIL f.txt 1 replace (plan line 1): lines=0 but range 1 covers 1 line(s) 1 hunk(s), 1 file(s), 1 failed — NOTHING WRITTEN mrw: 1 hunk(s) failed — nothing was written
[replace-with-empty-body] exit=2  bytes=2 | mrw: p.plan: plan has 1 error(s): line 1: replace with an empty body would delete 1 — say delete if that is what you mean, and check the body did not go missing if it is not
[create-over-existing-file] exit=1  Q | FAIL f.txt 0 create (plan line 1): create: f.txt already exists (1 lines) — use replace or delete 1 hunk(s), 1 file(s), 1 failed — NOTHING WRITTEN mrw: 1 hunk(s) failed — nothing was written
[create-in-missing-dir] exit=0  new | 1 hunk(s), 1 file(s), 0 failed — applied
[create-outside-root] exit=1  contained | FAIL ../escape.txt 0 create (plan line 1): ../escape.txt resolves to <tmp> which is outside the root <tmp> a plan may only change files under the directory mrw was pointed at 1 hunk(s), 1 file(s), 1 failed — NOTHING WRITTEN mrw: 1 hunk(s) failed — nothing was written
[dry-run-records-nothing-new?] exit=0  ledger lines for f.txt=1 (1 from the read is expected)
[mcp-120KB-request-line] exit=0  mrw mcp: serving <tmp> (from the working directory) {"jsonrpc":"2.0","id":1,"result":{"cont
[mcp-batch-array] exit=0  mrw mcp: serving <tmp> (from the working directory)
[mcp-notification-then-string-id] exit=0  "id":"s" responses=1
[mcp-specs-as-string] exit=0  mrw mcp: serving <tmp> (from the working directory) {"jsonrpc":"2.0","i
[mcp-garbage-then-valid] exit=0  responses=2 mrw mcp: serving <tmp> (from th
[no-HOME-no-XDG] exit=2  mrw: no XDG_STATE_HOME and no home directory: $HOME is not defined
[unwritable-state-home] exit=2  mrw: mkdir /dev/null: not a directory
campaign dir: <tmp>
